full_tweets,Label,location,quote_count,reply_count,retweet_count,favorite_count,language
covid19 vaccine manufacturers planning to ramp up production per  and,0,"Boston, MA ",0,0,0,0,en
we demand fact based eu amp un decisions that benefit the horn region  eritrea ethiopia   eritreanallowaccess starvingforjustice oromoprotests,-1,unknown,0,0,0,0,en
uk to cautiously ease lockdown as vaccine drive accelerates  bloomberg,1,Nice/Paris,0,0,0,0,en
its no different than people not wanting total strangers to get an abortion or the covid vaccine,0,"Washington, DC",0,0,1,1,en
horror movie characters friends  show coronavirus shirts,-1,unknown,0,0,0,0,en
is not in europe this is lebanon,-1,"Duhok,Kurdistan ",1,3,6,36,en
why are there laws that prohibit vaccine companies from being sued for damages,0,unknown,0,0,1,2,en
jacksonville anyone 65 fl resident can get a vaccine today without an appointment are open until 5pm,2,unknown,0,3,20,41,en
a new data tool from  and  helps people with disabilities determine when they qualify for th,-1,"Florida, 14th Congr. District",3,3,21,36,en
western agenda be that everything from  be shady,-1,Africa,0,0,0,0,en
something just dawned on me why on earth would the astra zeneca manufacturers and the government put human embryonic,0,unknown,5,10,26,42,en
what kind of sick human being states openly that covid19 is an economic opportunity to affect the great and change the way societies interact with their citizens undemocratic influencers are trying to change society worldeconomicforum,2,The Netherlands,0,0,0,0,en
something to read about while waiting out the wild weather or debby doesnt do it for free yes great nam,-1,unknown,0,1,3,4,en
go phuck yourself centrist blue new labour tory prick  you defended matt hancocks unlawful handling of coronavirus contractsby defending westminster corruption youre not a man of the people but a man of the establishmentlabour is no longer fit for purpose,-1,North Yorkshire,0,0,0,0,en
ian bi  erupts over coverup of chinas covid death toll,-1,United Kingdom,0,0,0,0,en
pfizer only covid jab experiences  uk only please people asked for this after my other pinned poll  for,-1,"Brighton, England",2,15,27,15,en
i cannot wait for this fucking vaccine,2,Everywhere you want to be,0,0,0,0,en
oops,-1,"Wales, United Kingdom",0,2,3,6,en
is baby jemima usman she made it to the 2nd stage lets vo againvote vo,-1,"Lagos, Nigeria",0,0,2,2,en
matt hancock defends decision to unlock slowly saying it is wise to allow time to see impact of next step before bringin,-1,unknown,1,28,30,76,en
everyone reacts differently to stressful situations like covid19 you may feel anxious angry sad or overwhelmed if you or,-1,unknown,1,8,61,87,en
dr fauci pronouncing pfizer on meet the press fiezah as the son of a brooklyn native i suspect fauci has done mor,-1,"Fairfax, VA",0,0,1,0,en
im getting the sneaking feeling that dems dont want the vaccine distributed too quickly because once the crisis is o,1,Washington State,4,13,25,98,en
in northern lebanon  enjoy i need to get back,-1,"New York, NY",0,0,0,0,en
stronger across the globe  supports inclusive education in emergency responses to the covid19,-1,unknown,0,0,7,22,en
why arent we talking about thiscovid19 corona modirojgardo modirojgaardo,-1,unknown,0,0,4,3,en
why didnt you challenge biden on saying there was no vaccine and when he got into office  hes already had it,1,unknown,0,0,0,0,en
loving kindness heals the heartjoy joy love peace covid19 mentalhealth mindfulness goldenhearts iam quote,1,"Ki, Earth ",0,0,1,3,en
as the covid19 death toll in the us reaches half a million weve barely begun to deal with the grief and trauma sid,-1,@Rick_Deckard@mastodon.top,0,0,1,1,en
baboy mo rin no imdemnity are required by d vaccine makers for them to be free of lawsuit amp burden shld their vaccine fails to deliver it purpose  is due to d vaccines much early stage of development but being rushed to be used thus requires euaemergency use authorization,1,unknown,0,0,0,0,en
just staggering on the night before the vaccine rollout begins,1,1986,1,14,8,28,en
left  people in rural india have forgotten about covid19 and have started normal life without masks dr shankank,-1,unknown,1,11,11,55,en
italy dozens of  sick after  coronavirus vaccine sigh,0,Free,0,0,0,0,en
covid19 vaccine could cause mammogram result confusion doctors say  kabc,0,unknown,0,0,0,0,en
got my first vaccine it wasnt that didnt even hurt  alright black peoples if i can do you can to,2,unknown,0,0,0,0,en
we were forcefed the death rate and infection rates on every single outlet all summer why is there ze focus or reporting on the survival ratebecause the survival rate speaks to nonurgency realities for a vaccine for the notathighrisk,1,USA,0,0,0,0,en
nyc publicschools have never met public health standards mental emotional nor physical wellness has been invested i,-1,New York,1,1,13,46,en
surge of student suicides pushes las vegas schools to    new york  yes theyre responsible 9 yr old w,-1,KY,0,0,1,0,en
arkansas governor give control of vaccine distribution to statesbut then only the wealthy would get t,1,"Missouri, USA",0,0,2,2,en
opinion stop your whining manatee county and be thankful desantis has saved the day,-1,"Bradenton, Fl.",0,0,0,0,en
you may well not be told what youre getting until after its gone into your arm i was only informed mine was pfizer afterwards obviously over all the  matter but on an individual bias they seem to be much of a muchness,2,Plague Island,0,0,0,0,en
delusional as usual  are second shots only  incompetence is spreading no new vaccinations are being given in  this week  gop failu number 9999999999999,1,unknown,0,0,0,0,en
just a reminderstudies reveal 9 out of 10 covid19 deaths could have been prevented if people had adequate vitamin d levels,1,"Texas, USA",0,0,0,0,en
i wonder where are the anti vaccine dummies ill be getting the vaccine as soon as i can the sooner the better,2,unknown,0,0,0,0,en
do you mean when the vaccine has been widely available for everyone who wants to get vaccinated  are not the same thing,1,"Brooklyn, NY",0,0,0,0,en
post is even more important now than it was when it was written if you are not fine please talk to someone ca,-1,unknown,0,3,12,21,en
yes we should worry a lot vaccinepassports coronapass freedompass paspoort testbewijs,1,The Netherlands,0,0,0,0,en
what a disgrace  soon even indian allopathy will become the laughing stock of the world thanks to you cl,-1,"New Delhi, India",0,0,1,2,en
jeffrey del  33yo cna  california died of covid19 924 with a shy smile i he and his twin brother were,-1,unknown,0,6,40,133,en
i would never say no to a vaccine or a flu shot i think its a good thing says jacqueline flegel 84 she has received h,2,unknown,5,24,21,125,en
positivequotes your vision will become more clear when you,-1,Lebanon,0,0,0,0,en
across rural alaska are beating the rest of us in vaccine distribution cities serviced mainly by alaskas govt,1,unknown,0,1,26,44,en
comms during covid19 hpes  talks strategy with,-1,Italy,0,0,0,0,en
what vaccine   offguardian,-1,unknown,0,0,1,0,en
can you hack ai cyberattack machinelearning datascience python ai 100daysofcode iot flutter javascript serverless cybersecurity tech ddos deeplearning fintech covid19 data  iiot 5g cloud  cybercrimes gan hacking security,-1,unknown,0,0,0,0,en
and what people just not get the vaccine because you want to teach politicians a lesson,-1,"London, England",0,0,0,0,en
so you have questions about the covid vaccines we have answers,2,"Brisbane, Australia",0,0,0,0,en
use of a mask alone is not enough to protect you from covid19 it can only protect you when worn along with other preventa,-1,Mogadishu,0,0,3,6,en
this really how i been feeling,-1,"Texas, USA",0,2,4,6,en
researchers found that covid19 can survive for four days on glass and seven days on plastic as well as sta,1,India,1,16,50,165,en
premji hailed indias vaccination programme and said that the covid19 vaccine has been developed at a record time,1,"Vadodara,India",3,2,12,89,en
a person is under surveillance for 15 minutes after taking a covid 19 vaccine to make sure that the doctor can react dir,1,unknown,0,0,12,8,en
bruce pfalzgraf 61yo pharmacist cvs parkersburg wv died of covid19 112 he enjoyed cooking on  big green egg bird,-1,USA,4,11,63,227,en
what can happen when you listen to the science good leaders can use this to save lives amp get back to some normalcydr henry  use covid to promote themselves for personal gain without regard for human lifehorganhenrymess backwardsbc bced bcpoli,0,unknown,0,0,0,0,en
israels vaccine effect is as clear as it is because cases and hospital admissions among younger unvaccinated groups ke,1,Maryland !! 💙,5,5,45,233,en
definition of a vaccine dont like it  east just change it,-1,unknown,0,0,2,1,en
s no conspiracy to it really iphone usually gets updates and new apps before android phones because its far easier,-1,unknown,0,0,11,7,en
make sure your sitting down for these ones,-1,Lanarkshire,0,0,0,0,en
of course i hope your grandmother is able to get the vaccine very soon in most states she should already be eligible my grandpa passed away after a stroke a few months ago so i understand the worry and pain of being apart,2,"Los Angeles, California",0,0,0,0,en
is incredible news more and more evidence that the vaccine doesnt just stop the recipient from getting sick,1,"Salt Lake City, Utah, USA",0,1,14,52,en
uks covid cases drop by 70 after first pfizer shot,2,"Malacca,Malaysia",1,0,1,6,en
f giveaways today on dead posh instagram today  smi  shoplifters of  world unite  elvis face maskmade in england deadposhuk  facemask lockdown2021  covid19 covid maskme,-1,unknown,0,0,0,0,en
nu dies 1 day af vaccine they call it covid dea   is exac what we have been warning kill you with,0,unknown,3,15,91,201,en
all best to you justin i had my first pfizer vaccination on  no dramatic side effects just a mild dull ache on the injection site and a minor headache that may not even have been related,2,North Nottinghamshire,0,0,0,0,en
vaccine passport will mean a society based on apartheid discrimination amp segregation with hancock blair and fri,1,unknown,3,7,45,136,en
annual flu vaccination programme includes preschool children aged two or older and children at primary school  year it also includes children in year 8 vaccinating your child helps protect them against flu infection children should get the flu vaccine during autumn,-1,United Kingdom,0,0,0,0,en
covid19 vaccine scams which ask for your bank details and personal information are circulating  nhs will never ask for your,1,unknown,1,3,39,36,en
us emerged as an early hotspot for coronavirus and it continues to have some of the highest case and death rates in the w,-1,"Minneapolis,  MN",0,1,6,20,en
if  administration had told you one year ago that 500k would die from covid19 would you have done things differently,-1,"Illinois, USA",0,0,0,0,en
vaccine thats been given to 5 of population lead to herd immunity how,1,unknown,0,0,0,0,en
is one of the most telling statements about origin of cov2 for folks to understand covid19,-1,unknown,1,6,13,27,en
if any health problem caused  in my family apart from corona due to lockdown you and your goverment will be responsible for it we dont care you shut the whole city down if you are eligible enough to pay our bills make your vaccine work dont trouble us,1,"Mumbai, India",0,0,0,0,en
fyi registration for the vaccine is now available on android could be android version dependent but do check mysejaht,2,Malaysia,1,2,16,13,en
as the vaccine approaches and fear recedes  the poet maxine chernoff reflects on grief loyalty and sigrid nunezs novel  friend we are privileged to publish this fine writer,-1,"California, USA",0,0,0,0,en
powerful winds and unusually high waves pummelled israels entire mediterranean coastline with tonnes of tar staining beaches,-1,Indore MP India,1,0,2,14,en
house democrats renew call for hate crime law after rise in antiasian attacks since the covid19 pandemic,-1,United Kingdom,0,0,0,0,en
pfizer astra shots reduced hospitalization risk in scotland by 85 to 94,2,"Lagos, Nigeria",2,0,56,115,en
give me the vaccine right now,2,(She/Her)South-east Asian,0,0,0,0,en
yes i receive text message to book appointment for covid vaccine i say no  early process for this unknown substance in my body,0,EU the biggest market on Earth,0,0,0,0,en
good news a third of all adults in the uk have had their first shot of the covid vaccine,2,unknown,0,0,0,0,en
computer guy impossible meats guy eugenics guy philanthropist vaccine guy weatherman the reason they can do whate,-1,Jax,1,8,23,72,en
its going to take years to vaccinated the world it was always going to take years  pace will increase,1,unknown,0,1,2,8,en
nope i volunteered at a vaccine site yesterday but i havent gotten a dose yet  clinic yesterday was only for people getting second doses hopefully soon,2,"Houston, TX",0,0,0,0,en
pune administration imposes nighttime curbs details here pune nightcurfew,-1,"Pune, India",0,0,2,0,en
more variants because of vaccine dodgers,-1,UK,0,0,0,0,en
do not let the establishment get away with these experimental untested m vaccine adverse events i wouldnt allow myself,0,unknown,0,0,5,8,en
its gene therapy not a vaccine,0,unknown,0,0,0,0,en
frustration grows among seniors and caregivers over ontarios covid19 vaccine rollout  cbc news,-1,"Ontario, Canada",0,0,0,0,en
like lets say a certain federal government putting canada three months behind 50 other countries in terms of vacc,-1,Over here,8,0,60,221,en
other companies got billions in funding ows ensured faster c approvals amp vaccine rollout,-1,"Treaty 3 Lands, Ontario",0,0,0,0,en
canada covid19 with variants current health measures not enough to stop pandemic resurgence modelling,-1,"Comox Valley, BC",0,2,9,8,en
just how important were early pandemics in shaping todays society previous pandemics are believed to have shaped both,-1,United Kingdom,0,0,1,1,en
im pro voter id and pro vaccine passport if it means i can go on my holiday booked for august my one booked for may obviously isnt going to happen im not getting hysterical about it thoughsometimes you just have to take things in your stride,2,Blocks racists and bores.,0,0,0,0,en
outside the box prediction jnj will not be approved in the us we will use solely pfizermoderna,2,unknown,0,0,0,0,en
india has pledged its vaccine manufacturing capacity to make vaccines accessible and affordable to all from bangladesh,1,"Hyderabad, India",0,0,2,3,en
sanjay  maharashtra minister holds a massive rally defies covid19 ruleslisten in to what bjps ashish shelar,-1,EARTH,2,3,3,4,en
certificationofvaccineid identification  even named it after their long plan,2,Liverpool,0,0,5,9,en
48 days left to act on vaccinequity  lets reflect on the disconnect between how many people have already been vaccinated a,2,"Nairobi, Kenya",2,11,25,53,en
,,SomewhereÂ in the World.,0,0,3,3,en
wouldnt put it past them,-1,"Arizona, USA",0,0,0,0,en
i know at least two people with lifeconstraining autoimmune problems one triggered by vaccine decades back i wonder if we all know of at least one,0,"Newbury, Berkshire",0,0,0,0,en
1758m 034m people in the uk have received at least 1 dose of a covid19 vaccine as of the 20th february1st dose,1,UK 🇬🇧🇺🇸🏳️‍🌈🌳,0,3,9,38,en
just get rid of him  the man is a total fool he isnt driving us well at all and is compromising your position,-1,Bracknell UK,1,12,36,87,en
mutualaid covid19  parenting my cousin needs support pls dont overlook,-1,he/him,1,0,17,1,en
how bad is it sask population less than 1 million  368 deaths from covid vietnam pop 95 million 35 deaths let hist,-1,"Lethbridge, Alberta",0,6,22,78,en
s president admits country has covid19 problem,-1,City of Angels,0,1,2,3,en
for a better lebanon go awayالحريريمنافقالجمهورية,-1,unknown,0,0,6,4,en
vaccine is produced in genetically modified human embryonic kidney hek 293 cells,0,UK,0,0,5,5,en
make sure you file a report if your vaccine has a negative side effect,0,unknown,0,0,0,0,en
ill keep this tweet in mind on  when i get my 2nd pfizer shot pretty sure my nightmare will be different than yours,2,The Puzzle Palace,0,0,0,0,en
so we shouldnt eat gm foods because were worried about incorporating alien dna into our own but well gladly skim over the impact of injecting modified covid19 dna into the entire population,0,unknown,0,0,0,0,en
i love my family and their protection is a priority for me and vaccine is the guarantee for their safetyاللقاحواجب,2,unknown,0,0,7,3,en
slowcovidnc can alert you if youve been in contact with someone who tests positive for covid19  more people who download,-1,unknown,1,2,8,14,en
its fantastic news that all adults will be offered covidvaccine jab by july 31 but this does not mean we can go back to,2,unknown,4,20,111,354,en
new series of serosurveillance studies to monitor and understand the covid19 response in kenya,-1,London,0,0,3,2,en
i wonder if these people are even aware that a virus cannot be defeated no coronavirus has ever been eradicated by humans especially the genuine ones,0,UK,0,0,0,0,en
che was obviously referencing the fact that israels vaccination campaign has largely excluded palestinians in the west bank,-1,unknown,1,3,21,129,en
how come he gets the pfizer vaccine i thought the astra zenica is so good well good enough for the rest of us,2,unknown,0,0,0,0,en
when is mass covid vaccination going to be available  polio vaccine back in the 1930s was a walk up anyone could get it vaccine come to our homes and apartments like census workers do if covid is so serious where is the urgency,1,unknown,0,0,0,0,en
sad esp when people that preach to congregations feel they act amp think humane pep offer every excuse for welldocumented facts on israels inhumane behaviors amp stranglehold on palestinian territories superseding pa on everythingwater access food air etc ampvaccine entry wow,-1,unknown,0,0,0,0,en
matt hancock claims britains covid vaccine rollout will have a quiet week because of supply issues,-1,unknown,0,0,0,0,en
covid vaccine all uk adults to be offered jab by 31 july  pm,2,"Atlanta,GA",0,0,0,0,en
as of feb 19 2021 at least 793 active and retired k12 educators and personnel have died of covid19 of those 216 w,-1,unknown,1,0,16,25,en
does this include scotland,-1,unknown,5,34,19,98,en
sorry but i just see that as relying on robust vaccination over testing by 2022by september the vaccine will be embedded in society and testing will be phased out omega are not a solid provider so pricing will drop only thing sending this agar above 100 is a new variant,-1,"Manchester, UK",0,0,0,0,en
so covid cases arent cases covid patients arent necessarily being treated for covid covid deaths probably didnt die,-1,unknown,9,14,212,423,en
hi guys  join me for a skate down the beach and a chat about the current covidvaccine situation in benidorm on our latst videobenidorm benidorm2021 thebenidormenthusiast visitbenidorm lovebenidorm benidorm1000 benidormspain benidormteespera,-1,"Benidorm, Spain",0,0,0,0,en
have they completely ditched medical ethics and data privacy,0,UK,2,9,15,29,en
hey luke just wondering why the vaccine offers long term protection or appears to but they say that contracting the virus doesnt prevent you from getting covid again or is this the theory behind the 2 doses,0,"Cobh, Co. Cork, Ireland",0,0,0,0,en
yeah  vaccine which he himself never took,0,everywhere,0,0,0,0,en
how  sign up for a covid19 vaccine in your state,2,"South Carolina, USA",0,0,0,0,en
undocumented immigrants are essential against covid19 and will be critical for our nations recovery learn more https,-1,unknown,0,0,2,3,en
and that vaccine,-1,"Illinois, USA",0,0,0,0,en
disingenuous gym likes to think we can do it all on our own hint it take a village with sacov2 until everyone is safeno one is covid19,-1,"Utah, USA",0,0,0,0,en
please listen to the apeals of many legal iraqi   waited 39 years for,-1,unknown,0,0,9,9,en
nj covid19 what public schools in ocean monmouth and sussex are open full time please let me know,-1,unknown,0,3,2,0,en
oh wait unless your a palestinian then you have to wait  got it,-1,unknown,0,0,6,62,en
why should you need to have a vaccination to get into a pub when the vaccine doesnt prevent transmission,0,unknown,0,0,0,0,en
yes i did admittedly it required you to actually click the link in the tweet which is more effort than you are prepared for,-1,Ireland,0,0,0,0,en
some people worry that the canadians who are most vulnerable and have the greatest need for the vaccine could end up gettin,-1,Earth,0,2,1,5,en
arrogance of privilege white liberal democrats like   tell us what you amp other liberals are r,-1,United States,0,6,24,77,en
vaccine wont give you immunity to covid but turning off your television will,0,unknown,2,9,64,217,en
an interesting but incomplete analysis of the eu vaccination fiasco by  he rightly points to the best endea,-1,United Kingdom,1,1,5,6,en
cv19 vaccine and update information in auslan for australian deaf community by  interpreted by  https,-1,"Sydney, Australia",0,0,1,4,en
really does matter a vaccine not only keeping people out of the hospital but also drastically reducing transmission is huge,2,"San Diego, CA",0,0,0,0,en
how good is the  covid19 epidemiological modelling background on virtual pandemics from me,-1,unknown,0,0,2,2,en
india has pledged its vaccine manufacturing capacity to make vaccines accessible and affordable to all from bangladesh to brazil,2,unknown,0,1,8,20,en
first this is a joke 2nd kids shouldnt be getting the vaccine,-1,unknown,0,0,0,0,en
germany forced to admit astrazeneca vaccine is safe  uk vindicated despite eu whinging,-1,South Warwickshire,0,0,0,0,en
latest covid update 271 new cases in portsmouth this week 1st dose of vaccine to all over 50 year olds by 15th april all adults by 31st july 6064 year olds may be invited this week or next pmouth rate now 126 admissions to qa down a bit covid19 southsea portsmouth,2,Portsmouth,0,0,0,0,en
pleased and grateful to have had my covid vaccine today i was unsure as i had severe anaphylactic allergy reaction in the past to brufen  i feel fine  i think it is safer to have it   more that have it the more it will save lives,2,Liverpool,0,0,0,0,en
all the people who went around  yelling vaccines dont prevent transmission just because we didnt have,-1,unknown,4,22,52,321,en
is what happens when you only look at one number to judge the outcome sweden took an approach based on minimized da,-1,unknown,0,0,1,0,en
arent publishing just how many are suffering reactions to the vaccine in the uk i personally know of 7 i never knew that many people ill,0,Manchester,0,0,0,0,en
from covid management to vaccine victory from inspiring partys commitment to service to strongwilled reform measures fro,-1,"Bhanvad, India",2,30,120,343,en
as we begin to beat this pandemic lets remember and honor the 800 long beach lives we have now lost covid19 remains th,-1,"Pasadena, CA",0,4,13,63,en
in true fashion the actions of lebanons mps now threaten the funding of the countrys covid vaccine programwhy bec,-1,unknown,2,1,22,53,en
so sorry for your loss,-1,"Space Coast, Florida USA",0,0,0,0,en
viruses vol 13 pages 333  design of a pan coronavirus vaccine based on conserved c epitopes,-1,Oxford UK,0,0,0,0,en
people who had covid19 may only need one vaccine dose fauci says,1,unknown,5,32,8,33,en
maybe the most at risk individuals should have gone 1st,-1,unknown,0,0,0,0,en
france row as lyon mayor keeps meat off school menusnews covid india coronavirus instagram love follow like media france row as lyon mayor keeps meat off school menusbreakingnews music instagood viral fashion trending politics corona noticias memescurren,-1,India,0,0,0,0,en
che was obviously referencing the fact that israels vaccination campaign has largely excluded palestinians in the west bank,-1,"Asheville, NC",2,6,70,418,en
tells rich countries to stop hoarding covidvaccine amp doing private deals with pharma that undermine covax   peoplesvaccine,-1,"Cape Town, South Africa",0,0,0,0,en
have you gotten the covid19 vaccine were compiling pictures of teachers getting their vaccination to potentially share in edweek share yours in the comments below,2,"Bethesda, MD",0,0,0,0,en
morrison is distracting the quiet australians with the vaccine brouhaha,0,Coastal Oz,0,2,2,31,en
only in  could they think that soliciting a profile of one of the people who literally fucked up canadas v,-1,unknown,1,16,22,74,en
is fake  can you block it,-1,India,0,1,4,6,en
wow 400 followers from 5ki need a boost  are appreciated i fbr covid19 coronavirus corona bi,-1,unknown,2,0,3,6,en
matt hancock claims britains covid vaccine rollout will have a quiet week because of supply issues,-1,unknown,0,0,0,0,en
why we cant make vaccine doses any faster  vaccine supply chains are extremely specialized and sensitive relying on e,-1,"St. Louis, MO",0,0,7,27,en
follow our  dos and  don to protect yourself amp your colleagues from covid19 in the workplace,-1,"Kampala, Uganda",0,0,1,0,en
id cards for those without driving licences note address amp photos are already on dls,-1,Cornwall & Rest of UK,0,0,0,0,en
great new tool from   easy access to info on how to sign up for the vaccine in your state,2,Texas,9,6,195,319,en
vaccine would be allowed into the country unless certified by the nafdacaccording to him  need to involve the private sector in dispensing vaccine will be studied by the vaccine coordinating committee and nphcda who has the mandate to administer vaccines in nigeria,2,"Abuja, Nigeria",0,0,0,0,en
but edyour friend joebiden told us that most blacks and hispanics werent intellectually capable of navigating,-1,unknown,7,8,50,89,en
several staff including myself have refused the covid 19 vaccine on more than 1 occasion  hse is now making appointment,0,unknown,0,15,23,62,en
fantastic speaking with mark kennedy of mqi give this a share if you can,-1,Dublin Ireland,0,0,1,1,en
do you know what i find even more disturbing than the government trying to drag out lockdowns for another 4 months despite t,-1,East TN,1,15,22,101,en
we have every reason to believe a man is no more than a cartoon when that is exactly how he is presented to us https,-1,unknown,0,0,1,2,en
living it now in my own country and i am saying this to you  centre will not change the things that need urgent a,-1,"Belfast, Northern Ireland",0,0,7,18,en
gebran bassil works in lebanon and saad hariri follows the saudi streetالحريريمنافقالجمهورية,-1,Lebanon,0,0,113,83,en
protecting everyone in society today is the commitment of everyone to take the vaccine,2,Liban,0,0,0,0,en
me and my girlies after we get the vaccine,2,"multifandom, BLM",0,0,0,0,en
good evening from farayya lebanon  لبنان,-1,Lebanon,2,10,31,155,en
if i have the vaccine i dont care if the person next to me got it  are risking their lives eventually all the people who didnt get the vaccine will get it and we will reach herd immunity that way,2,unknown,0,0,0,0,en
like obviously it does depend on the government being able to hit its goal of all 18 being offered and the vast majority accepting the vaccine like in the elderly age bracketsbut it is plausible that it could happen,-1,"London, England",0,0,0,0,en
biggest fear for me is that those who are contributing the least to the impending doom will be hit first and hit hardest,-1,WHO Geneva,0,0,1,0,en
is an incredible feat for sure but you can do things quickly when you skip most of the major steps in clinical trials,0,unknown,0,1,4,5,en
if you have a minute please support vaccines4vulnerable,2,Ireland,0,0,0,0,en
data analysis of cornershopdiaries can produce crucial graphical insights into the functioning of microenterprises,-1,"New Delhi, India",0,0,2,3,en
interesting,-1,"Rhode Island, USA",0,0,0,0,en
in his stimulus push president biden calls on  to heed their constituents  analysis,-1,"Washington, DC",0,0,0,0,en
effect of the first dose of the pfizer vaccine falls quite considerably with time it peaks at 85 after 2834 days then,0,England,2,0,10,12,en
50 per cent of the uk are looking for a career change are you one of the statistics pandemiclife newcareer covid19,-1,Cheshire,0,0,0,0,en
interesting thread vax supply could stop being the issue pretty quickly denmark targetting about 23x our weekly rate of getting jabs in arms 100k per day vs 250k per week here,-1,"Cork, Ireland",0,0,0,0,en
when us conservatives blamed china for the global covid19 pandemic beijing dems msm  fb g went on the offensive unleashing a massive disinformation campaign to shift blame to america amp  labeling anything not inline with ccp as conspiracy theory discrediting it,-1,"New York, USA",0,0,0,0,en
i wonder if any of this is covid andor vaccine related,-1,🇺🇸,0,0,0,0,en
is 53rd out of 59 jurisdictionswhy,-1,Dark Shadows of Nashville,2,5,17,21,en
but it will b on 8th march when all kids go back 2 school dreading tomorrows announcement covid19 covidvaccine,-1,unknown,0,0,0,0,en
billion dollar question why is the modi government not allowing this cater to indians first in a pandemic instead of vacc,-1,unknown,1,11,47,168,en
from covid management to vaccine victory from inspiring partys commitment to service to strongwilled reform measures fro,-1,"Bela Pratapgarh, India",2,35,136,398,en
extra head starts with a pimple on the side of your neck,-1,unknown,0,0,0,0,en
heres our health minister  with his mask under his nose at the commencement of vaccinations today   i kn,-1,Port Macquarie,6,13,41,142,en
dr fauci now says covid19 vaccine will s spread of virus amp protect  who are unvaccinated  position a,2,America First,10,23,65,129,en
health minister must be fired  now multiple cases should be filed against patanjali but it wont happen be,-1,Mumbai - Konkan,6,8,172,336,en
google alto a little  object for machinelearningdatascience python ai 100daysofco,-1,Bedford,1,0,11,4,en
bro trump supporters wake up to zero texts but think the government cares about them enough to implant and track them using a vaccine take a hint bitch fr,2,"Las Vegas, NV",0,0,0,0,en
only a small percent of president joe bidens proposed 19 trillion coronavirus relief package would actually go to pan,-1,unknown,3,4,82,60,en
due to covid19 ill be blessing the first 450 people to like amp retweet this 500  1500 through cashapp venmo  apple p,-1,unknown,5,28,188,227,en
winter solstice  was 21st december the shortest day of the year  lowest amount of vitamin d produced via  amp skin pig,-1,Bayern,0,1,10,28,en
when in lebanon i always visit the garden at odd times and sit there enjoying the silence,-1,unknown,0,0,0,0,en
covid19 is a stark reminder that pandemics of zoonotic viruses have consequences for wildlife too  and  the gorill,-1,"Three Rivers,Mi ",4,2,106,209,en
great question w data so mixed failure of the astra zeneca vaccine to prevent mildmoderate i,0,🇪🇺🇨🇿🇦🇹,2,7,25,148,en
meatpacking plants have been the states thirdbiggest source of coronavirus outbreaks eclipsed only by longterm care facilities such as nursing homes and jails and prisons are not a vaccine priority,-1,unknown,0,0,0,0,en
just in state health officials are reporting 1804 new cases of covid19 and 25 deaths due to the viruslatest,-1,"Tucson, AZ",1,0,6,13,en
why are they reopening schools first when neither teachers nor youngsters are amongst those vaccinated how does that keep,-1,leatherhead surrey England,0,6,3,7,en
