full_tweets,labels ,is_duplicate,location,quote_count,reply_count,retweet_count,favorite_count,language
المشعوذ د كوتشي فى اخر اصداراته الكوميديةحيث ان الحقنة الاولى تسبب اصابتك بالڤيرس والمرضفأن كنت اصبت سابقا ولم تمت فالحقنة الثانية كفيلة باتمام اللازم,1,FALSE,unknown,0,0,0,0,ar
بنهاية موضوعنا لا تترددوا في أخذ موعد للتطعيم ضد كورونا  done by المصادر http,1,TRUE,"الرياض, المملكة العربية السعودية",0,0,4,1,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,1,FALSE,unknown,0,0,0,0,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,FALSE,Lebanon,0,0,0,0,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,TRUE,مش مهم,0,0,0,0,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,TRUE,Lebanon,0,0,1,1,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,TRUE,مش مهم,0,0,2,2,ar
لنِرجَع تنعلّم بأمان اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,FALSE,Lebanon,1,1,18,12,ar
لَنوقف مع جيشنا الأبيض بهالحرب  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,FALSE,Lebanon,0,0,3,3,ar
لنِرجَع نِفرَح بأمان اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,FALSE,Lebanon,0,0,7,11,ar
"كورونا علمتني كتير تعلّمت الصّبر، تعلّمت إنو العيلة هيي القصة كلا، قدّرت شغلي وحسيت مع يلي شغلو يومي، خلتني فكر بالإنسان وإشكر الله عكل النعم يلي عاطيني ياها وكنت آخدتها تحصيل حاصلcovid19 lebanon لبنان  lifelesson",1,FALSE,Lebanon,0,0,0,0,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,TRUE,Beirut-lebanon,0,0,3,3,ar
لنِرجَع على شغلنا بأمان اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,FALSE,unknown,0,0,10,10,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,1,TRUE,unknown,0,0,0,0,ar
اللقاحواجب و خطوة ضرورية لمكافحة فيروس كوروناتأكد من تسجيل إسمك وإسم أفراد عائلتك للحصول على لُقاحكوروناإستمارة ال,1,FALSE,unknown,1,0,13,15,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,1,TRUE,مش مهم,0,0,1,1,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",1,TRUE,ارض امنا حواء,1,7,37,75,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,TRUE,Lebanon,0,0,4,5,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,1,TRUE,"Lebanon, TN",0,0,6,4,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,TRUE,Lebanon,0,0,1,1,ar
الهند تتحدى شركة فايزر لإجراء تجربة سريرية على لقاح كوروناشركة فايزر ألغت وأسقطت الطلب على إذن استخدام الطوارئ للقا,1,TRUE,unknown,1,2,50,98,ar
معا نهزم كورونااللقاح سبيلنا للخلاص وطريق للإنتصار  على الوباءاللقاحواجب,1,FALSE,unknown,0,0,0,0,ar
تلقيت قبل قليل الجرعة الثانية من لقاح كوفيد19 ولله الحمد والمّنة شكراً لـ أبطالالصحة على مايقومون به من عمل يفوق الوصف,1,FALSE,المملكة العربية السعودية,0,0,1,1,ar
"اذا هذي قراراتنا والله لي سنة ٢٠٦٠ واحنا للحين قاعد نواجه فيروس كورونا المستجد جزئي، كلي، جزئي، كلي، جزئي، كلي لاللح",1,FALSE,-leo-❣️,0,0,6,3,ar
موظفونخارجالسلطنةضدقراراللجنههذا حق من حقوقنا عندنا اهلنا والسلطنة بلادنا ليش المنع بداعي المرض طيب الفئات المستثناه من,1,FALSE,unknown,0,0,3,2,ar
معا نهزم كورونااللقاح سبيلنا للخلاص وطريق للإنتصار  على الوباءاللقاحواجب,1,TRUE,unknown,0,0,1,1,ar
كورونا علمتنا درساً غاية في الأهميه عندما تبقى وحيداً ستنجو وعندما تتبع القطيع ستموت,1,FALSE,unknown,0,0,0,0,ar
حرام عليكم حياتنا في خطر أختي عندها كورونا لو عديت حد مليش دعوه عشان مش هشيل سنة عشان خاطر الوزارة و منكم للهإستغاثة,1,FALSE,unknown,0,0,4,4,ar
عذرا يا دكتور لو تسمحلي أعلق بأدب ومين قال لحضرتك ان التطعيم يحمي من الاصابه بفيروس كوروناالتطعيم وظيفته إنك حينما تصاب بكورونا لا يسبب لك المرض مضاعفات التطعيم ما هوا الا حمايه للجسم بالأضافه ان التطعيم فعال بنسبة 95  يعني 5 في المئة معرضين للمضاعفات عادي,1,FALSE,"Hawally, Kuwait",0,0,0,0,ar
موظفونخارجالسلطنةضدقراراللجنة نعلم اللجنة العليا بأن العمانيين العاملين بدولة الإمارات الغلبية العظمى منهم أخذوا,1,FALSE,unknown,0,2,4,3,ar
وزارة الدفاعتجهيز 16 مركز وعيادة لتطعيم منسوبي الوزارة ضد فيروس كورونا بمختلف مناطق المملكة,1,FALSE,المملكة العربية السعودية,0,12,12,32,ar
هما تقلصت الاجراءات الاحترازيه حقت كورونا لانهم يبغون يفتحونه ولاعاد فيه اي اجراءات او اغلاق,1,FALSE,unknown,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,1,FALSE,unknown,0,0,0,0,ar
"صحتك تهمنا ، نتعاون ولا نتهاون الصحة تعليمالزلفي كورونا",1,FALSE,unknown,0,0,18,8,ar
س  تم تشخيصي بفيروس كورونا بعد الجرعج الأولى من التطعيم بواسطة مسحة الحلقهل من الممكن ان يسبب التطعيم الاصابة بالفيروس؟جق,1,FALSE,saudi -Riyadh,0,4,6,11,ar
"الرئيس التنفيذي  د عبدالعزيز الحميضي،تجمعحائلالصحي، يتابع سير العمل في المركز الرئيسي للقاحات كورونا، ورافقه خلال الجو",1,FALSE,🇪🇬⁩,0,0,92,13,ar
حفظ الله سموه الكريم من كل مكروه وحفظ الله لنا قيادتنا الحكيمة و أدام عزها بعد التوكل على الله تم حجز موعد لأخذ الجرعة الاولى من لقاح كورونا كوفيد١٩ عن طريق تطبيقصحتي,1,FALSE,unknown,0,0,0,0,ar
عندي سؤال محتاجه إجابته  من بداية أزمة كورونا الى الآن  منو صاحب التوصيات الصحية بالإغلاقات حتى للمشاريع الصغيرة,1,FALSE,مصر  المنصوره   دقهليه,1,17,4,38,ar
نتمنى تتكلمون عن معاناة الموظفين العمانيين في الامارات المفروض يستثنونهم من الحجر المؤسسي ايضا مثل ما استثنو اهل مسندم ايضا,1,FALSE,unknown,0,0,4,3,ar
صوت صفارات الإنذار في مدینة رامهرمز من محافظة خوزستان حالة قلق تسود مدینة رامهرمز بسبب تفشي مرض کورونا بشکل واسع النطاق والنظام لایزال یماطل شراء لقاح کورونا و تطعیم المواطنینإیران نظامالملاليالقمعالإرهاب,1,FALSE,unknown,0,0,0,0,ar
"يغلقون اماكن تقوية المناعة مثل النوادي وصالات الرياضة ، ويفتحون المطار لجلب المزيد من الفايروسات ،، هل يعلمون ان حيا",1,FALSE,unknown,0,2,12,7,ar
قامت قطر مؤخرا بإعفاء مواطنيها الذين تلقوا جرعتي لقاح من متطلبات الحجر الصحيونتمنى من وزارة الصحة الكويتية إعفاء من تلق,1,FALSE,kuwait,1,4,39,23,ar
نسبة الوفيات بسبب الاصابة بفيروس كورونا عم بتزيد كل يوم  كرمال كل الوجع اللي عم نعيشه كل يوم اللقاحواجب واجب لتحمي عيلتك وكل اللي بتحبهم,1,FALSE,بيروت - لبنان,0,0,0,0,ar
معلومات عن لقاح سبوتنيكاللقاحواجب,1,FALSE,unknown,0,0,3,1,ar
"دام اهم مو رادين على أحد من الشعب ،،الحل إن قراراتهم الغبية تمس مصلحة مرزوق الغانملأن هذي الحالة الوحيدة اللي راح يعفس فيها مجلس الوزراء بكبره لدرجة ما استبعد يطلعون يصرحون بالتغلب على كورونا ، ولا يزعل مرزوق",1,FALSE,unknown,0,0,0,0,ar
أول ما انحكى عن انو صار في لقاح للcovid19 اكيد كنت ضد الموضوع مش لأني أخبر من الأطباء بس كان عندي خوف وخاصة بعد الاشا,1,FALSE,unknown,0,0,11,8,ar
مقال في جريدة الاندبندنت يتحدث عن ٣ دراسات بتواريخها يظهر وفاة  شخص من كل ١٠ متعافين من كورونا خلال اشهر بسيطة بسبب مضاعفات,1,FALSE,Kuwait,0,0,4,5,ar
"رجوعالمتسابقينمطلبناالفراشات يهددون ناصر الغامدي بـ كورونا وان تجمعات ممنوعه ،،عشان متسابقهم خايفين عليه يختفي ،،،،،",1,FALSE,unknown,1,0,2,3,ar
كورونا,1,FALSE,unknown,0,0,0,0,ar
وزارة الدفاعتجهيز 16 مركز وعيادة لتطعيم منسوبي الوزارة ضد فيروس كورونا بمختلف مناطق المملكة,1,FALSE,"القنفذة, المملكة العربية السعودية",0,17,14,36,ar
"أخذ اللقاح ضد فايروس كورونا المتوفر هو واجبٌ إنساني وأخلاقي ووطني لحماية انفسنا، ولإيقاف انتشار هذه الجائحةاللقاح",1,FALSE,unknown,0,0,14,17,ar
معلومات عن لقاح موديرنااللقاحواجب,1,FALSE,unknown,0,0,2,1,ar
للأسف من بداية أزمة الوباء المزعوم حذر الأحرار في البرلمان الايطالي من كذبة كورونا ومن مدى التضليل الإعلامي والتضخيم من فايروس وهمي لاوجود له ولا يعدو كونه إنفلونزا طبيعية ولكن لم يلتفت إليه وبسبب هذا هانحن نعيش تحت رحمة حفنة من الأوغاد تحدد خط مسار حياتنا اليومية وكيف يكون,1,FALSE,Switzerland,0,0,0,0,ar
اللقاحات انقذت البشرية من الاوبئة المدمرة واليوم لقاح فيروس كورونا سينقذ العالم من الهلاكاللقاحواجب,1,FALSE,unknown,0,0,1,0,ar
photo  معلومات عن لقاح سينوفارماللقاحواجب,1,FALSE,unknown,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,1,TRUE,unknown,0,0,0,0,ar
اقترح ان تكون لقاحات كورونا في المراكز الصحية داخل الأحياء,1,FALSE,unknown,0,3,3,11,ar
التطعيم باللقاح ضد فايروس كورونا يجعل الجسم أكثر قدرة على مقاومته وتكوين المناعة ضده اللقاحواجب,1,FALSE,Lebanon,0,0,0,0,ar
تشبيه لقاح سبوتنيك v الروسي ببندقية كلاشينكوف,1,FALSE,Egypt,0,0,0,0,ar
يا ريس احنا حياتنا وحياة اهالينا وجيرانا وصحابنا ف خطر انا واحد جاله كورونا ف الضيف وشفت الموت بعنيه دقت طعمه حرفيا ر,1,FALSE,Egypt,0,0,19,11,ar
الدفاع المدني في جمعية الرسالة للإسعاف الصحي يشارك ب ٧٥ قائد وعنصر اختصاص تمريض في الدورة التدريبية التي نظمتها وزارة الص,1,FALSE,unknown,0,0,2,1,ar
كرمال ما يروح جهاد هل شباب لتركوا كل شي بهل حياة كرمال راحتنا خود هل لقاح اللقاحواجب,1,FALSE,unknown,0,0,4,4,ar
المواقع المخصصة كمراكز للقاح فيروس كورونا بصحة جازان,1,FALSE,Egypt,0,0,11,1,ar
إصابة فتاة في بعلبك برصاصة طائشة o o,1,FALSE,Lebanon,0,0,0,0,ar
وزارة الدفاعتجهيز 16 مركز وعيادة لتطعيم منسوبي الوزارة ضد فيروس كورونا بمختلف مناطق المملكة,1,TRUE,saudi -Riyadh,1,17,15,39,ar
تعقيم كورونا بالرياض والخرجتعقيم ششقتعقيم فللتعقيم منازلتعقيم مكتبتعقيم مدرسةتعقيم مساجدتعقيم مكتبتعقيم خزانات,1,FALSE,saudi -Riyadh,0,3,157,1,ar
الحامل تقدر تاخذ لقاح كورونا,1,FALSE,unknown,0,1,3,3,ar
لليوم 14 وزارة الشؤون الإسلامية تقرر اليوم إغلاق 3 مساجد مؤقتاً بمنطقتي الرياض والشرقية بعد ثبوت 6 حالات كورونا بين صفوف,1,FALSE,saudi -Riyadh,0,0,18,2,ar
لابو الصين لابو التعليم الالكتروني على هاي الدگة فوگ هالضيم هذا كله ضيم الأساتذة عبالك احنه مسوين تعليم الكتروني وجايبين كورونا اكو أساتذة ولا يخافون من الله أبد,1,FALSE,unknown,0,0,0,0,ar
"اللقاح ليس لقاحًَّ1 مفاجأة  تقنية m covid19 ليست لقاحًا نعم ، إنه ليس لقاح  فإن تقنية m covid ا",1,FALSE,unknown,8,16,83,145,ar
اللي حاشته كورونا وخلص زي حالاتي  لازم يشوف هالفيديو عشان يعرف شنو اللي قاعد يصير فيه من بعد ما طاب و شلون يطلع من هالأعراض,1,FALSE,kuwait,0,0,0,0,ar
اخبار مصر اليوم  القاهرة  لجنة الطوارئ الصحية بالسودان انحسار إصابات ووفيات كورونا,1,FALSE,unknown,0,0,0,0,ar
المغرب توسيع الاستفادة من عملية التلقيح الوطنية ضد فيروس كورونا لتشمل المواطنات والمواطنين ما بين 60 و64 سنة والحاملي,1,FALSE,Morocco,0,0,2,3,ar
اللقاحات انقذت البشرية من الاوبئة المدمرة واليوم لقاح فيروس كورونا سينقذ العالم من الهلاكاللقاحواجب,1,TRUE,unknown,0,0,2,1,ar
المريخ مافي عوار راسولا كورونا و تجارب بيولوجية وهميةولا في رئيس غير شرعيولا شوارع مكسرةولا بص حضرتك ومستشارينوإلخبس أرجع وأقول  ماكو مثل الكويت,1,FALSE,"الفيحاء, دولة الكويت",0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,1,TRUE,unknown,0,0,0,0,ar
للأسف من بداية أزمة الوباء المزعوم حذر الأحرار في البرلمان الايطالي من كذبة كورونا ومن مدى التضليل الإعلامي والتضخيم من فايروس و,1,FALSE,unknown,0,0,1,0,ar
اللقاح هو الضمان الوحيد لحماية أسرتي من الموت بوباء كورونااللقاحواجب,1,FALSE,unknown,0,0,2,1,ar
"الامارات  طيرانالإمارات تشغل أول رحلة تخدمها طواقم تلقى جميع أفرادها اللقاحات المضادة لفيروس كورونا، حيث أقلعت الرحلة من مطاردبيالدولي في الساعة 830 صباح اليوم متجهة إلى لوسانجلوسالنافذةاللوجستية",1,FALSE,UAE,0,0,0,0,ar
اللقاح هو الضمان الوحيد لحماية أسرتي من الموت بوباء كورونااللقاحواجب,1,TRUE,unknown,0,0,0,0,ar
اللقاح سبيلنا للانتصار على وباء كورونااللقاحواجب,1,FALSE,unknown,0,0,4,3,ar
التطعيم باللقاح ضد فايروس كورونا يجعل الجسم أكثر قدرة على مقاومته وتكوين المناعة ضده اللقاحواجب,1,TRUE,unknown,0,0,0,0,ar
المرحلة الثانية المواقع المخصصة كمراكز للقاح فيروس كورونا  كوفيد19  بـ صحةجازان وعددها 19 منشأة و 95 عيادة,1,FALSE,المملكة العربية السعودية,0,1,4,10,ar
معا نهزم كورونااللقاح سبيلنا للخلاص وطريق للإنتصار  على الوباءاللقاحواجب,1,TRUE,Beirut,0,0,1,0,ar
إمارةالجوف فيديو  الصحة لقاحات كورونا المتوفرة في المملكة معتمدة وذات مأمونية عالية نتعاون,1,FALSE,unknown,0,0,6,2,ar
وزارة الدفاعتجهيز 16 مركز وعيادة لتطعيم منسوبي الوزارة ضد فيروس كورونا بمختلف مناطق المملكة,1,TRUE,المملكة العربية السعودية,2,17,17,44,ar
وزارة الدفاعتجهيز 16 مركز وعيادة لتطعيم منسوبي الوزارة ضد فيروس كورونا بمختلف مناطق المملكة,1,TRUE,المملكة العربية السعودية,2,17,18,44,ar
رئيس الوزراء الأردن في مرحلة حرجة بمواجهة جائحة كوروناعاجل هناالمملكة,1,FALSE,الاردن,12,19,4,84,ar
تطبيقصحتي حماية للجميع سجل الان لأخذ لقاح كورونا السعودية نجرانالآن كورونا فيروسكورونا الصحة عاجل لقاحكورونا,1,FALSE,المملكة العربية السعودية,0,0,87,4,ar
وزارة الدفاعتجهيز 16 مركز وعيادة لتطعيم منسوبي الوزارة ضد فيروس كورونا بمختلف مناطق المملكةحامدالدريبيسنابتيماء,1,TRUE,المملكه العربيه السعوديه,0,0,0,0,ar
احس كورونا هو اللي يقول لي قو مو انا,1,FALSE,unknown,0,0,0,0,ar
الدولة الوحيدة في العالم التي يتسابق وافدين مصاروة وغيرهم لدخولها في أزمة كورونا هي بلادنا تطعيم بلاشوعلاج من كورونا,1,FALSE,unknown,0,22,43,96,ar
وصول دفعة من لقاح سبوتنيك v إلى غزة,1,TRUE,"الرياض, المملكة العربية السعودية",0,0,0,0,ar
يجب أن يكون لقاح كوفيد19 شاملاً للجميعلنكن واضحين إن حماية البلدان الثرية وحدها لن يتيح عودة الحياة إلى طبيعتها و,1,FALSE,unknown,0,6,124,36,ar
س  تم تشخيصي بفيروس كورونا بعد الجرعج الأولى من التطعيم بواسطة مسحة الحلقهل من الممكن ان يسبب التطعيم الاصابة بالفيروس؟جق,1,TRUE,unknown,0,4,7,11,ar
اللقاحواجب لتحفيز المواطنين على تلقي لقاح فيروس كورونا,1,FALSE,unknown,0,0,5,6,ar
إمارةالجوف فيديو  الصحة فحوصات كورونا عالية الدقة وتختلف عن الفحوصات الأخرى نتعاونمانتهاون,1,FALSE,unknown,0,0,4,2,ar
21 يمكن أن يتسبب في تسارع السرطان  وهذا هو تعبير تلك القطعة من الفيروس  معروف بفعله لعقود لقاح covid هو ن,1,FALSE,Germany,0,1,8,25,ar
اللقاحات انقذت البشرية من الاوبئة المدمرة واليوم لقاح فيروس كورونا سينقذ العالم من الهلاكاللقاحواجب,1,TRUE,unknown,0,0,0,0,ar
نتعاونمانتهاون من التدابير الوقائية للحد من انتشار فايروس كورونا ترك مسافة آمنة بينك وبين شخص آخر تظهر عليه أعراض المرض,1,FALSE,الرياض,0,0,3,0,ar
معلومات عن لقاح موديرنااللقاحواجب,1,TRUE,unknown,0,0,1,0,ar
أخباررؤيتنا  وزارةالصحة أبرز ماجاء في الموتمرالصحفيلوزارةالصحه لمتابعة فيروس كورونا  السعوديه أخبار,1,FALSE,unknown,0,0,13,1,ar
معا نهزم كورونااللقاح سبيلنا للخلاص وطريق للإنتصار  على الوباءاللقاحواجب,1,TRUE,unknown,0,0,1,0,ar
"لماذا لا تنتجون لقاح وتاخذونه من غيركم ، اذا تمت الموافقة عليه هل المنتج الذي عندهم هو المنتج الذي يصدرونه ؟",1,FALSE,unknown,0,0,0,0,ar
إصلاحي فتح لقاحات كورونا التي وصلت غزة بدون ثمن سياسيلمتابعة التفاصيل من خلال الرابط ادناه,1,FALSE,unknown,3,29,20,43,ar
فيديوالدفاعضمن إطار التوسع في تنفيذ الحملة الوطنية للتطعيم ضد فايروس كورونا covid19 جهزت وزارة الدفاع 16 مركز وعيادة موز,1,TRUE,,2,8,104,120,ar
خلصنا من سالفة تم إصابتي بفايروس كورونا إلى تم أخذ الجرعة الأولى من لقاح كورونا,1,FALSE,kuwait,0,0,0,0,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,1,FALSE,Lebanon,0,0,4,6,ar
"أسامة الشاهين نلاحظ عدم استقرار القرار الحكومي في شأن التعاطي مع تداعيات كورونا ، ومن ذلك الإلزام بالحجر الفندقي ولذلك توجهت بأسئ",1,FALSE,Egypt,0,0,8,8,ar
فاعلية ليس فعَّالية لقاح فايزر في العالم الحقيقي و ليس الدراسات,1,FALSE,unknown,1,9,21,43,ar
وزارة الشؤون الإسلامية  إغلاق 3 مساجد مؤقتاً بمنطقتي الرياض والشرقية بعد ثبوت 6 حالات كورونا بين صفوف المصلين,1,FALSE,saudi,0,2,9,21,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,1,TRUE,Lebanon,0,0,14,13,ar
"أخذ اللقاح ضد فايروس كورونا المتوفر هو واجبٌ إنساني وأخلاقي ووطني لحماية انفسنا، ولإيقاف انتشار هذه الجائحةاللقاحواجب",1,TRUE,unknown,0,0,0,0,ar
